Hourly compensation (US$),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Australia,8.4399995804,9.7600002289,9.9399995804,9.2700004578,9.8000001907,8.1800003052,8.5500001907,9.5200004578,11.4399995804,12.5,13.0900001526,13.6700000763,13.2299995422,12.6199998856,14.1300001144,15.3599996567,17.0200004578,16.7099990845,15.1099996567,15.9399995804,14.4099998474,13.3299999237,15.3999996185,19.7900009155,23.3799991608,25.1100006104,26.1399993896
Austria,8.8699998856,7.7699999809,7.7600002289,7.7899999619,7.3499999046,7.5700001717,10.720000267,13.6499996185,14.4899997711,14.1499996185,17.7199993134,18.0400009155,20.2399997711,20.1100006104,21.4899997711,25.2600002289,24.75,21.8500003815,22.0200004578,21.6299991608,19.1200008392,19.0699996948,20.6599998474,25.4200000763,28.3899993896,29.3600006104,30.4599990845
Belgium,11.7399997711,10.279999733,8.9300003052,8.529999733,7.9800000191,8.2100000381,11.25,13.9600000381,14.720000267,14.3699998856,17.8500003815,18.3999996185,20.5,20.1499996185,21.9300003052,25.6800003052,25.25,22.2800006866,22.6200008392,22.1399993896,20.1299991608,19.8400001526,21.7700004578,26.5499992371,30.0100002289,30.7900009155,31.8500003815
Brazil,,,,,,,,,,,,,,,,,5.7600002289,5.7699999809,5.4899997711,3.3900001049,3.5,2.9700000286,2.5699999332,2.7400000095,3.1400001049,4.1599998474,4.9099998474
Canada,8.8699998856,9.7899999619,10.6999998093,11.4099998474,11.4099998474,11.1999998093,11.3299999237,12.3000001907,13.7700004578,15.0600004196,16.3299999237,17.6900005341,17.5699996948,16.9699993134,16.2900009155,16.5,17.0400009155,16.8299999237,15.9300003052,16.1000003815,16.4799995422,16.2700004578,16.7999992371,19.6000003815,21.8500003815,23.9799995422,25.7399997711
Czech Rep.,,,,,,,,,,,,,,,,2.5299999714,2.9400000572,2.7899999619,2.9900000095,3.1199998856,3.0099999905,3.1300001144,3.8299999237,4.7199997902,5.4499998093,6.0399999619,6.7699999809
Denmark,10.8299999237,9.3599996567,8.8400001526,8.5799999237,7.9800000191,8.029999733,10.9499998093,14.0900001526,15.0799999237,14.470000267,18.2900009155,18.5499992371,20.4099998474,19.6100006104,20.9300003052,25.0200004578,25.1399993896,23.1499996185,23.6800003052,24.0200004578,21.4300003052,21.6700000763,23.8799991608,29.6299991608,33.6800003052,34.4500007629,35.4500007629
Finland,8.6099996567,8.3299999237,8.2600002289,7.7100000381,7.9200000763,8.3000001907,10.7700004578,13.4499998093,15.6499996185,16.7800006866,20.8400001526,20.7299995422,19.1599998474,15.8100004196,18.1599998474,22.6000003815,22.2099990845,20.0100002289,19.3999996185,19.6599998474,17.8400001526,18.0699996948,19.75,24.3500003815,27.7999992371,28.3799991608,29.8999996185
France,8.8999996185,7.9800000191,7.7399997711,7.6599998474,7.25,7.4699997902,10.2100000381,12.1899995804,12.8400001526,12.5399999619,15.3500003815,15.5200004578,17.3199996948,16.5200004578,17.1000003815,19.2399997711,18.9699993134,17.0699996948,17.2800006866,16.9799995422,15.4300003052,15.529999733,16.8999996185,20.7399997711,23.2900009155,24,24.8999996185
Germany,,,,,,,,,,,,,,23.8899993896,25.3299999237,30.1000003815,29.5799999237,25.9599990845,25.1700000763,24.5699996948,22.6700000763,22.5100002289,24.3299999237,29.9300003052,33.0900001526,33.3400001526,34.2099990845
Greece,3.7200000286,3.6500000954,4.0999999046,3.7699999809,3.7300000191,3.6500000954,4.0599999428,4.5999999046,5.1399998665,5.4200000763,6.6900000572,6.8499999046,7.6599998474,7.0599999428,7.5900001526,9.0500001907,9.529999733,9.1499996185,8.8800001144,8.6000003815,7.6700000763,7.9600000381,6.4299998283,11.8599996567,14.6499996185,15.3100004196,16.1000003815
"Hong Kong, China",1.5,1.5499999523,1.6499999762,1.5099999905,1.5800000429,1.7300000191,1.8799999952,2.0999999046,2.4100000858,2.8099999428,3.2200000286,3.5699999332,3.9100000858,4.2800002098,4.5999999046,4.8000001907,5.1199998856,5.3800001144,5.4000000954,5.3699998856,5.4499998093,5.7399997711,5.6599998474,5.5399999619,5.5100002289,5.6500000954,5.7800002098
Hungary,,,,,,,,,,,,,,,2.7000000477,2.6900000572,2.7100000381,2.6800000668,2.7200000286,2.7599999905,2.7400000095,3.1300001144,3.9300000668,4.7899999619,5.6799998283,6.1300001144,6.2899999619
Ireland,6.4400000572,5.9699997902,6.0700001717,6,5.9000000954,6.2199997902,8.3900003433,9.720000267,10.4300003052,10.0100002289,12.1099996567,12.3699998856,13.6000003815,12.3800001144,12.8999996185,14.1400003433,14.4899997711,14.25,14.1800003052,14.3299999237,13.279999733,14.1599998474,15.8500003815,19.7900009155,22.6700000763,24.1499996185,25.9599990845
Israel,3.4100000858,3.75,3.9800000191,4.3800001144,4.1799998283,3.6500000954,4.6700000763,5.6900000572,6.8800001144,6.9000000954,7.6900000572,7.9000000954,8.1199998856,7.8699998856,8.1999998093,9.4099998474,10.1099996567,10.8000001907,10.8599996567,10.5699996948,11.4099998474,12.1800003052,11,11.6199998856,12.0100002289,12.3400001526,12.9799995422
Italy,8.0900001526,7.5199999809,7.3800001144,7.6399998665,7.3000001907,7.5599999428,10.3699998856,12.8900003433,13.8500003815,14.3400001526,17.6800003052,18.7399997711,19.6399993896,15.9799995422,16.0900001526,16.5300006866,18.0699996948,16.9500007629,16.7299995422,16.3199996948,14.470000267,14.5600004196,16.0900001526,20.2900009155,23.5699996948,24.2299995422,25.0699996948
Japan,5.4600000381,6.0199999809,5.5500001907,5.9699997902,6.1700000763,6.2699999809,9.1300001144,10.6800003052,12.5,12.3900003433,12.5900001526,14.5100002289,16.1299991608,18.8600006104,20.9799995422,23.4699993134,20.4400005341,18.9799995422,17.6200008392,20.4400005341,21.9300003052,19.3500003815,18.6299991608,20.3199996948,21.9500007629,21.5400009155,20.2000007629
"Korea, Rep.",0.9499999881,1.0099999905,1.0800000429,1.1399999857,1.2000000477,1.2300000191,1.2999999523,1.5900000334,2.2000000477,3.1600000858,3.7000000477,4.6100001335,5.2100000381,5.7100000381,6.3400001526,7.2899999619,8.2100000381,7.8600001335,5.6700000763,7.3600001335,8.2299995422,7.6999998093,8.7700004578,9.6899995804,10.8100004196,12.7399997711,14.720000267
Luxembourg,11.4799995422,9.4200000763,8.220000267,7.7699999809,7.4000000954,7.4299998283,10.3199996948,12.7100000381,13.529999733,13.2299995422,15.8999996185,16.2700004578,18.1299991608,18.0400009155,19.8799991608,23.4500007629,22.4500007629,19.6599998474,19.5900001526,19.5,17.4099998474,17.0699996948,18.5200004578,22.8299999237,26.1800003052,27.2600002289,27.7399997711
Mexico,2.2000000477,2.8099999428,1.9600000381,1.4099999666,1.5599999428,1.5900000334,1.0900000334,1.0399999619,1.2400000095,1.4199999571,1.5700000525,1.8300000429,2.1600000858,2.3599998951,2.7400000095,1.7000000477,1.6299999952,1.7300000191,1.6499999762,1.8099999428,2.0699999332,2.3399999142,2.4900000095,2.4400000572,2.4400000572,2.6400001049,2.75
Netherlands,12.0500001907,9.8900003433,9.7700004578,9.4799995422,8.6899995804,8.7299995422,12.2100000381,15.1400003433,15.7899999619,14.9300003052,17.9799995422,18.0599994659,20.0100002289,19.7900009155,20.8400001526,24.0300006866,23.1000003815,20.7299995422,21.2900009155,21.3600006104,19.3500003815,19.8799991608,22.1499996185,27.5200004578,30.8199996948,31.7999992371,32.3400001526
New Zealand,5.4400000572,5.8099999428,5.7399997711,5.3000001907,4.7300000191,4.5500001907,5.5900001526,6.8699998856,8.3000001907,7.9200000763,8.4799995422,8.5200004578,8.0500001907,8.0500001907,9.0900001526,10.3500003815,11.3100004196,11.3199996948,9.3800001144,9.4499998093,8.3800001144,7.9699997902,9.1000003815,11.6899995804,13.6499996185,14.970000267,14.470000267
Norway,11.8000001907,11.2100000381,11.029999733,10.4499998093,10.1700000763,10.470000267,13.3599996567,16.9300003052,18.6000003815,18.5,21.7600002289,21.9500007629,23.4799995422,20.5900001526,21.3999996185,24.8400001526,25.4599990845,24.1200008392,24.4300003052,24.7299995422,22.5599994659,23.5100002289,27.9300003052,32.7299995422,36.4099998474,39.1699981689,41.0499992371
Philippines,,,,,,,,,,,,0.6700000167,0.7799999714,0.75,0.8899999857,0.9399999976,1.0099999905,0.9599999785,0.7200000286,0.8000000119,0.7699999809,0.75,0.7900000215,0.7900000215,0.8399999738,0.9200000167,1.0700000525
Poland,,,,,,,,,,,,,,,,,,2.7899999619,3,2.8900001049,2.8099999428,3.1900000572,3.2899999619,3.5199999809,3.8399999142,4.5100002289,4.9899997711
Portugal,1.9900000095,1.9700000286,1.8200000525,1.5700000525,1.3999999762,1.4800000191,2,2.4300000668,2.6800000668,2.8499999046,3.6099998951,4.0500001907,4.9299998283,4.3000001907,4.4000000954,5.1399998665,5.3299999237,5.1300001144,5.1999998093,5.0599999428,4.4899997711,4.5799999237,5.0399999619,6.1799998283,6.9600000381,7.2699999809,7.6500000954
Singapore,1.5399999619,1.8600000143,2.0199999809,2.2799999714,2.5299999714,2.5499999523,2.2300000191,2.2999999523,2.7400000095,3.1500000954,3.7799999714,4.3099999428,4.9099998474,5.2100000381,6.2300000191,7.6500000954,8.25,8.1000003815,7.4299998283,7.0199999809,7.3000001907,7.0300002098,6.7399997711,7.2300000191,7.4699997902,7.3000001907,8.5500001907
Spain,5.8600001335,5.5199999809,5.2600002289,4.5399999619,4.4499998093,4.6399998665,6.2100000381,7.5799999237,8.4899997711,8.8999996185,11.3000001907,12.1899995804,13.3900003433,11.4899997711,11.3900003433,12.6999998093,13.3299999237,12.0799999237,11.9499998093,11.9200000763,10.6599998474,10.8800001144,12.0500001907,15.1400003433,17.25,17.9200000763,18.8299999237
Sri Lanka,0.2199999988,0.2099999934,0.2399999946,0.25,0.25,0.2800000012,0.2899999917,0.3000000119,0.3100000024,0.3100000024,0.349999994,0.400000006,0.400000006,0.4199999869,0.4499999881,0.4799999893,0.4799999893,0.4600000083,0.4699999988,0.4600000083,0.4799999893,0.4499999881,0.4900000095,0.5099999905,0.5199999809,0.5400000215,
Sweden,12.3999996185,11.6999998093,9.9899997711,8.8199996948,9.1000003815,9.5799999237,12.3100004196,15,16.6800003052,17.3700008392,20.75,22,24.4099998474,17.4699993134,18.5799999237,21.6200008392,24.2900009155,22.3700008392,22.3999996185,22.0699996948,20.6800003052,19.0699996948,21.1700000763,26.4200000763,30.0799999237,30.4599990845,31.7999992371
Switzerland,10.9600000381,10.0100002289,10.3100004196,10.3299999237,9.5200004578,9.5500001907,13.6199998856,16.8999996185,17.8099994659,16.5400009155,20.6299991608,21.4300003052,22.9500007629,22.3600006104,24.6200008392,28.8899993896,27.9400005341,23.8500003815,24.0400009155,23.2299995422,20.9500007629,21.5300006866,23.7700004578,27.7900009155,30.2099990845,30.5,30.6700000763
Taiwan,1.0299999714,1.2200000286,1.25,1.3099999428,1.4600000381,1.5099999905,1.7300000191,2.2599999905,2.7999999523,3.5,3.9100000858,4.3400001526,5.1199998856,5.1599998474,5.5100002289,5.9899997711,5.9800000191,6.0900001526,5.3899998665,5.7800002098,6.1900000572,6.0500001907,5.6399998665,5.6900000572,5.9800000191,6.4200000763,6.4299998283
United Kingdom,7.5199999809,7.2699999809,6.8699998856,6.4499998093,5.9899997711,6.2199997902,7.5900001526,9.0100002289,10.5200004578,10.4099998474,12.4600000381,13.4200000763,13.9799995422,12.2700004578,12.8299999237,13.7100000381,14.1199998856,15.6899995804,16.9799995422,17.3400001526,16.8400001526,16.9099998474,18.4300003052,21.2900009155,24.8199996948,25.7199993134,27.1000003815
United States,9.6300001144,10.6199998856,11.4300003052,11.8400001526,12.2700004578,12.7100000381,12.9899997711,13.3000001907,13.6099996567,14.0399999619,14.8100004196,15.5200004578,15.9499998093,16.3700008392,16.7800006866,17.1700000763,17.7399997711,18.2000007629,18.5200004578,18.8999996185,19.6499996185,20.5200004578,21.6000003815,22.4799995422,23.1299991608,23.8099994659,23.8199996948
